(-7.000000,51.000000,122.000000),(1.000000,0.000000,0.000000,0.000000),(1,0),(0,0),(0,0)
(3.000000,52.000000,125.000000),(0.984817,-0.171883,-0.017188,-0.017188),(2,0),(0,0),(0,0)
(5.000000,50.000000,134.000000),(0.956472,-0.273979,-0.100401,-0.003952),(3,0),(0,0),(0,0)
(8.000000,49.000000,131.000000),(0.964680,-0.250353,-0.031182,-0.075787),(4,0),(0,0),(0,0)
(16.000000,45.000000,130.000000),(0.917051,-0.355283,-0.164100,-0.076567),(5,0),(0,0),(0,0)
(25.000000,45.000000,132.000000),(0.962617,-0.244858,-0.043418,-0.107366),(6,0),(0,0),(0,0)
(23.000000,42.000000,130.000000),(0.979449,-0.108832,-0.087055,-0.145799),(7,0),(0,0),(0,0)
(18.000000,36.000000,124.000000),(0.954528,-0.051556,-0.221774,-0.192443),(8,0),(0,0),(0,0)
(19.000000,34.000000,126.000000),(0.883146,-0.162991,-0.348175,-0.268816),(9,0),(0,0),(0,0)
(17.000000,32.000000,127.000000),(0.814052,-0.300440,-0.430873,-0.247797),(10,0),(0,0),(0,0)
(10.000000,28.000000,125.000000),(0.761827,-0.449015,-0.385125,-0.263978),(11,0),(0,0),(0,0)
(10.000000,28.000000,129.000000),(0.683154,-0.565411,-0.363225,-0.285793),(12,0),(0,0),(0,0)
(10.000000,33.000000,126.000000),(0.636125,-0.607363,-0.399727,-0.258214),(13,0),(0,0),(0,0)
(14.000000,35.000000,126.000000),(0.587336,-0.594592,-0.484184,-0.258963),(14,0),(0,0),(0,0)
(16.000000,41.000000,131.000000),(0.453567,-0.676217,-0.517692,-0.262684),(15,0),(0,0),(0,0)
(9.000000,45.000000,131.000000),(0.543376,-0.646726,-0.498398,-0.195162),(16,0),(0,0),(0,0)
(17.000000,43.000000,135.000000),(0.526954,-0.703983,-0.368351,-0.301736),(17,0),(0,0),(0,0)
(18.000000,39.000000,143.000000),(0.429808,-0.760602,-0.289423,-0.391132),(18,0),(0,0),(0,0)
(27.000000,38.000000,136.000000),(0.468440,-0.712463,-0.221953,-0.472967),(19,0),(0,0),(0,0)
(-47.000000,32.000000,128.000000),(0.354499,-0.782946,-0.264236,-0.437614),(20,0),(0,0),(0,0)
